id_code,diagnosis
images (1) copy 2,0
images (1) copy 3,0
images (1) copy 4,0
images (1) copy 5,0
images (1) copy,0
images (1),0
images (2) copy 2,0
images (2) copy 3,0
images (2) copy 4,0
images (2) copy 5,0
images (2) copy,0
images (2),0
images copy 2,0
images copy 3,0
images copy 4,0
images copy 5,0
images copy,0
images,0
XR_DENTAL_OPG_20210922_152951_big_gallery (1) copy 2,0
XR_DENTAL_OPG_20210922_152951_big_gallery (1) copy 3,0
XR_DENTAL_OPG_20210922_152951_big_gallery (1) copy 4,0
XR_DENTAL_OPG_20210922_152951_big_gallery (1) copy 5,0
XR_DENTAL_OPG_20210922_152951_big_gallery (1) copy,0
XR_DENTAL_OPG_20210922_152951_big_gallery (1),0
XR_DENTAL_OPG_20210922_152951_big_gallery copy 2,0
XR_DENTAL_OPG_20210922_152951_big_gallery copy 3,0
XR_DENTAL_OPG_20210922_152951_big_gallery copy 4,0
XR_DENTAL_OPG_20210922_152951_big_gallery copy 5,0
XR_DENTAL_OPG_20210922_152951_big_gallery copy,0
XR_DENTAL_OPG_20210922_152951_big_gallery,0
four copy 10,1
four copy 11,1
four copy 12,1
four copy 13,1
four copy 14,1
four copy 15,1
four copy 16,1
four copy 17,1
four copy 18,1
four copy 19,1
four copy 2,1
four copy 20,1
four copy 21,1
four copy 22,1
four copy 23,1
four copy 3,1
four copy 4,1
four copy 5,1
four copy 6,1
four copy 7,1
four copy 8,1
four copy 9,1
four copy,1
four,1
two copy 10,1
two copy 11,1
two copy 12,1
two copy 13,1
two copy 14,1
two copy 15,1
two copy 16,1
two copy 17,1
two copy 18,1
two copy 19,1
two copy 2,1
two copy 20,1
two copy 21,1
two copy 22,1
two copy 23,1
two copy 3,1
two copy 4,1
two copy 5,1
two copy 6,1
two copy 7,1
two copy 8,1
two copy 9,1
two copy,1
two,1
images (1) copy 2,2
images (1) copy 3,2
images (1) copy,2
images (1),2
images (2) copy 2,2
images (2) copy 3,2
images (2) copy,2
images (2),2
images (3) copy 2,2
images (3) copy 3,2
images (3) copy,2
images (3),2
images (4) copy 2,2
images (4) copy 3,2
images (4) copy,2
images (4),2
images (5) copy 2,2
images (5) copy 3,2
images (5) copy,2
images (5),2
images (6) copy 2,2
images (6) copy 3,2
images (6) copy,2
images (6),2
images copy 2,2
images copy 3,2
images copy,2
images,2
